"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"CSP15","Overall Violence (Violence Against Person Def.)","676.00 Number","Number","2015/2016_Q2","2015-07-01","2015-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","245.00 Number","Number","2015/2016_Jul","2015-07-01","2015-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","237.00 Number","Number","2015/2016_Aug","2015-08-01","2015-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","194.00 Number","Number","2015/2016_Sep","2015-09-01","2015-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","610.00 Number","Number","2015/2016_Q3","2015-10-01","2015-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","210.00 Number","Number","2015/2016_Oct","2015-10-01","2015-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","185.00 Number","Number","2015/2016_Nov","2015-11-01","2015-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","215.00 Number","Number","2015/2016_Dec","2015-12-01","2015-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","203.00 Number","Number","2015/2016_Jan","2016-01-01","2016-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","596.00 Number","Number","2015/2016_Q4","2016-01-01","2016-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","195.00 Number","Number","2015/2016_Feb","2016-02-01","2016-02-29","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","198.00 Number","Number","2015/2016_Mar","2016-03-01","2016-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","2509.00 Number","Number","2016/2017","2016-04-01","2017-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","567.00 Number","Number","2016/2017_Q1","2016-04-01","2016-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","184.00 Number","Number","2016/2017_Apr","2016-04-01","2016-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","179.00 Number","Number","2016/2017_May","2016-05-01","2016-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","204.00 Number","Number","2016/2017_Jun","2016-06-01","2016-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","640.00 Number","Number","2016/2017_Q2","2016-07-01","2016-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","232.00 Number","Number","2016/2017_Jul","2016-07-01","2016-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","212.00 Number","Number","2016/2017_Aug","2016-08-01","2016-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","196.00 Number","Number","2016/2017_Sep","2016-09-01","2016-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","646.00 Number","Number","2016/2017_Q3","2016-10-01","2016-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","220.00 Number","Number","2016/2017_Oct","2016-10-01","2016-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","182.00 Number","Number","2016/2017_Nov","2016-11-01","2016-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","244.00 Number","Number","2016/2017_Dec","2016-12-01","2016-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","250.00 Number","Number","2016/2017_Jan","2017-01-01","2017-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","656.00 Number","Number","2016/2017_Q4","2017-01-01","2017-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","175.00 Number","Number","2016/2017_Feb","2017-02-01","2017-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","231.00 Number","Number","2016/2017_Mar","2017-03-01","2017-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","251.00 Number","Number","2017/2018_Apr","2017-04-01","2017-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","716.00 Number","Number","2017/2018_Q1","2017-04-01","2017-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","3188.00 Number","Number","2017/2018","2017-04-01","2018-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","250.00 Number","Number","2017/2018_May","2017-05-01","2017-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","215.00 Number","Number","2017/2018_Jun","2017-06-01","2017-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","916.00 Number","Number","2017/2018_Q2","2017-07-01","2017-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","302.00 Number","Number","2017/2018_Jul","2017-07-01","2017-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","298.00 Number","Number","2017/2018_Aug","2017-08-01","2017-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","316.00 Number","Number","2017/2018_Sep","2017-09-01","2017-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","751.00 Number","Number","2017/2018_Q3","2017-10-01","2017-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","243.00 Number","Number","2017/2018_Oct","2017-10-01","2017-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","235.00 Number","Number","2017/2018_Nov","2017-11-01","2017-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","273.00 Number","Number","2017/2018_Dec","2017-12-01","2017-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","805.00 Number","Number","2017/2018_Q4","2018-01-01","2018-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","307.00 Number","Number","2017/2018_Jan","2018-01-01","2018-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","226.00 Number","Number","2017/2018_Feb","2018-02-01","2018-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","272.00 Number","Number","2017/2018_Mar","2018-03-01","2018-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","1033.00 Number","Number","2018/2019_Q1","2018-04-01","2018-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","4212.00 Number","Number","2018/2019","2018-04-01","2019-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","300.00 Number","Number","2018/2019_Apr","2018-04-01","2018-04-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","397.00 Number","Number","2018/2019_May","2018-05-01","2018-05-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","336.00 Number","Number","2018/2019_Jun","2018-06-01","2018-06-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","1036.00 Number","Number","2018/2019_Q2","2018-07-01","2018-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","399.00 Number","Number","2018/2019_Jul","2018-07-01","2018-07-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","342.00 Number","Number","2018/2019_Aug","2018-08-01","2018-08-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","295.00 Number","Number","2018/2019_Sep","2018-09-01","2018-09-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","341.00 Number","Number","2018/2019_Oct","2018-10-01","2018-10-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","1109.00 Number","Number","2018/2019_Q3","2018-10-01","2018-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","379.00 Number","Number","2018/2019_Nov","2018-11-01","2018-11-30","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","389.00 Number","Number","2018/2019_Dec","2018-12-01","2018-12-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","350.00 Number","Number","2018/2019_Jan","2019-01-01","2019-01-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","1034.00 Number","Number","2018/2019_Q4","2019-01-01","2019-03-31","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","339.00 Number","Number","2018/2019_Feb","2019-02-01","2019-02-28","Monthly"
"CSP15","Overall Violence (Violence Against Person Def.)","345.00 Number","Number","2018/2019_Mar","2019-03-01","2019-03-31","Monthly"
